,Unnamed: 0,0_RfR 0,1_RfR 0,2_RfR 0,3_RfR 0,4_RfR 0,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.5_DikeIncrease 0,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,total_costs [mil],total_RfR
6,6,1,0,1,1,0,0,0,3,3,3,3,0.0,110845665.75344951,236500000.0,0.0,0.0,347.3456657534495,3
128,128,1,1,1,1,0,0,0,3,3,3,3,0.0,110845665.0,454300000.0,0.0,0.0,565.145665,4
223,223,0,0,1,0,0,1,2,4,3,5,5,0.0,162557256.8152233,30700000.0,0.0,0.0,193.25725681522331,1
227,227,1,0,0,1,0,3,0,4,4,3,3,0.0,118566886.0,205800000.0,0.0,0.0,324.366886,2
288,288,1,0,1,0,0,3,0,4,3,5,5,0.0,125302053.0,115300000.0,0.0,0.0,240.602053,2
373,373,1,0,0,0,0,2,0,4,4,4,6,0.0,129730820.88840638,84600000.0,0.0,0.0,214.3308208884064,1
